Wavelength,Trace A,Trace B
1498.13,3.61E-07,1.42E-07
1498.23,3.58E-07,1.43E-07
1498.33,3.66E-07,1.43E-07
1498.43,3.66E-07,1.42E-07
1498.53,3.67E-07,1.43E-07
1498.63,3.66E-07,1.46E-07
1498.73,3.74E-07,1.46E-07
1498.83,3.77E-07,1.45E-07
1498.93,3.76E-07,1.47E-07
1499.03,3.79E-07,1.46E-07
1499.13,3.80E-07,1.49E-07
1499.23,3.82E-07,1.48E-07
1499.33,3.84E-07,1.53E-07
1499.43,3.89E-07,1.50E-07
1499.53,3.88E-07,1.51E-07
1499.63,3.95E-07,1.55E-07
1499.73,3.93E-07,1.52E-07
1499.83,3.94E-07,1.55E-07
1499.93,4.00E-07,1.57E-07
1500.03,4.04E-07,1.58E-07
1500.13,4.04E-07,1.55E-07
1500.23,4.04E-07,1.59E-07
1500.33,4.08E-07,1.62E-07
1500.43,4.14E-07,1.62E-07
1500.53,4.16E-07,1.63E-07
1500.63,4.15E-07,1.62E-07
1500.73,4.17E-07,1.65E-07
1500.83,4.21E-07,1.66E-07
1500.93,4.25E-07,1.65E-07
1501.03,4.27E-07,1.68E-07
1501.13,4.26E-07,1.70E-07
1501.23,4.30E-07,1.68E-07
1501.33,4.31E-07,1.70E-07
1501.43,4.36E-07,1.70E-07
1501.53,4.39E-07,1.73E-07
1501.63,4.41E-07,1.76E-07
1501.73,4.45E-07,1.76E-07
1501.83,4.43E-07,1.76E-07
1501.93,4.51E-07,1.81E-07
1502.03,4.54E-07,1.82E-07
1502.13,4.58E-07,1.81E-07
1502.23,4.58E-07,1.83E-07
1502.33,4.60E-07,1.79E-07
1502.43,4.63E-07,1.84E-07
1502.53,4.66E-07,1.84E-07
1502.63,4.71E-07,1.85E-07
1502.73,4.71E-07,1.89E-07
1502.83,4.74E-07,1.87E-07
1502.93,4.80E-07,1.93E-07
1503.03,4.82E-07,1.92E-07
1503.13,4.86E-07,1.91E-07
1503.23,4.89E-07,1.93E-07
1503.33,4.93E-07,1.95E-07
1503.43,4.93E-07,1.93E-07
1503.53,4.97E-07,1.95E-07
1503.63,5.00E-07,1.97E-07
1503.73,5.05E-07,1.97E-07
1503.83,5.06E-07,2.00E-07
1503.93,5.11E-07,2.05E-07
1504.03,5.10E-07,2.03E-07
1504.13,5.19E-07,2.04E-07
1504.23,5.22E-07,2.04E-07
1504.33,5.22E-07,2.09E-07
1504.43,5.23E-07,2.08E-07
1504.53,5.32E-07,2.02E-07
1504.63,5.34E-07,2.10E-07
1504.73,5.35E-07,2.13E-07
1504.83,5.44E-07,2.12E-07
1504.93,5.40E-07,2.15E-07
1505.03,5.52E-07,2.14E-07
1505.13,5.52E-07,2.14E-07
1505.23,5.54E-07,2.17E-07
1505.33,5.59E-07,2.19E-07
1505.43,5.64E-07,2.21E-07
1505.53,5.63E-07,2.22E-07
1505.63,5.71E-07,2.17E-07
1505.73,5.75E-07,2.23E-07
1505.83,5.79E-07,2.21E-07
1505.93,5.81E-07,2.26E-07
1506.03,5.85E-07,2.23E-07
1506.13,5.84E-07,2.28E-07
1506.23,5.91E-07,2.24E-07
1506.33,5.98E-07,2.33E-07
1506.43,6.00E-07,2.33E-07
1506.53,6.06E-07,2.35E-07
1506.63,6.08E-07,2.34E-07
1506.73,6.13E-07,2.39E-07
1506.83,6.17E-07,2.35E-07
1506.93,6.20E-07,2.38E-07
1507.03,6.19E-07,2.37E-07
1507.13,6.23E-07,2.40E-07
1507.23,6.32E-07,2.41E-07
1507.33,6.34E-07,2.43E-07
1507.43,6.37E-07,2.43E-07
1507.53,6.42E-07,2.45E-07
1507.63,6.49E-07,2.46E-07
1507.73,6.51E-07,2.49E-07
1507.83,6.57E-07,2.48E-07
1507.93,6.61E-07,2.48E-07
1508.03,6.62E-07,2.53E-07
1508.13,6.69E-07,2.55E-07
1508.23,6.72E-07,2.57E-07
1508.33,6.76E-07,2.55E-07
1508.43,6.83E-07,2.61E-07
1508.53,6.88E-07,2.60E-07
1508.63,6.88E-07,2.60E-07
1508.73,6.97E-07,2.61E-07
1508.83,7.00E-07,2.62E-07
1508.93,7.07E-07,2.65E-07
1509.03,7.11E-07,2.68E-07
1509.13,7.14E-07,2.66E-07
1509.23,7.18E-07,2.68E-07
1509.33,7.28E-07,2.72E-07
1509.43,7.30E-07,2.71E-07
1509.53,7.38E-07,2.75E-07
1509.63,7.41E-07,2.75E-07
1509.73,7.46E-07,2.78E-07
1509.83,7.49E-07,2.80E-07
1509.93,7.54E-07,2.81E-07
1510.03,7.62E-07,2.82E-07
1510.13,7.64E-07,2.89E-07
1510.23,7.73E-07,2.86E-07
1510.33,7.77E-07,2.88E-07
1510.43,7.84E-07,2.92E-07
1510.53,7.85E-07,2.91E-07
1510.63,7.93E-07,2.96E-07
1510.73,8.01E-07,2.95E-07
1510.83,8.04E-07,2.99E-07
1510.93,8.09E-07,2.99E-07
1511.03,8.16E-07,3.00E-07
1511.13,8.22E-07,3.06E-07
1511.23,8.21E-07,3.07E-07
1511.33,8.34E-07,3.11E-07
1511.43,8.38E-07,3.13E-07
1511.53,8.44E-07,3.17E-07
1511.63,8.49E-07,3.16E-07
1511.73,8.56E-07,3.20E-07
1511.83,8.63E-07,3.19E-07
1511.93,8.67E-07,3.25E-07
1512.03,8.73E-07,3.26E-07
1512.13,8.83E-07,3.23E-07
1512.23,8.89E-07,3.29E-07
